"Regiao";"UF";"Ano";"Transferência";"Valor Consolidado"
"Centro-Oeste";"MS";"2017";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"MS";"2017";"FUNDEB - FPE";"R$98.374.809,44"
"Centro-Oeste";"MS";"2017";"FUNDEB - FPM";"R$110.266.453,73"
"Centro-Oeste";"MS";"2017";"FUNDEB - ICMS";"R$662.852.463,77"
"Centro-Oeste";"MS";"2017";"FUNDEB - IPI-EXP";"R$8.022.981,24"
"Centro-Oeste";"MS";"2017";"FUNDEB - IPVA";"R$51.163.805,20"
"Centro-Oeste";"MS";"2017";"FUNDEB - ITCMD";"R$10.767.803,95"
"Centro-Oeste";"MS";"2017";"FUNDEB - ITR";"R$17.787.251,76"
"Centro-Oeste";"MS";"2017";"FUNDEB - LC 87";"R$2.073.864,36"
"Centro-Oeste";"MS";"2018";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"MS";"2018";"FUNDEB - FPE";"R$102.147.954,90"
"Centro-Oeste";"MS";"2018";"FUNDEB - FPM";"R$116.534.726,82"
"Centro-Oeste";"MS";"2018";"FUNDEB - ICMS";"R$720.973.299,84"
"Centro-Oeste";"MS";"2018";"FUNDEB - IPI-EXP";"R$8.613.434,10"
"Centro-Oeste";"MS";"2018";"FUNDEB - IPVA";"R$53.913.960,01"
"Centro-Oeste";"MS";"2018";"FUNDEB - ITCMD";"R$13.572.969,75"
"Centro-Oeste";"MS";"2018";"FUNDEB - ITR";"R$19.932.107,90"
"Centro-Oeste";"MS";"2018";"FUNDEB - LC 87";"R$2.001.367,70"
"Centro-Oeste";"MS";"2019";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"MS";"2019";"FUNDEB - FPE";"R$112.170.437,08"
"Centro-Oeste";"MS";"2019";"FUNDEB - FPM";"R$125.878.054,21"
"Centro-Oeste";"MS";"2019";"FUNDEB - ICMS";"R$779.325.466,08"
"Centro-Oeste";"MS";"2019";"FUNDEB - IPI-EXP";"R$8.915.520,01"
"Centro-Oeste";"MS";"2019";"FUNDEB - IPVA";"R$61.703.891,85"
"Centro-Oeste";"MS";"2019";"FUNDEB - ITCMD";"R$15.407.765,33"
"Centro-Oeste";"MS";"2019";"FUNDEB - ITR";"R$22.506.448,89"
"Centro-Oeste";"MS";"2019";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"MS";"2020";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"MS";"2020";"FUNDEB - FPE";"R$99.753.767,84"
"Centro-Oeste";"MS";"2020";"FUNDEB - FPM";"R$113.612.812,83"
"Centro-Oeste";"MS";"2020";"FUNDEB - ICMS";"R$808.518.581,26"
"Centro-Oeste";"MS";"2020";"FUNDEB - IPI-EXP";"R$7.951.100,11"
"Centro-Oeste";"MS";"2020";"FUNDEB - IPVA";"R$63.094.481,26"
"Centro-Oeste";"MS";"2020";"FUNDEB - ITCMD";"R$19.808.987,71"
"Centro-Oeste";"MS";"2020";"FUNDEB - ITR";"R$22.929.135,40"
"Centro-Oeste";"MS";"2020";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"MS";"2021";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"MS";"2021";"FUNDEB - FPE";"R$132.890.486,38"
"Centro-Oeste";"MS";"2021";"FUNDEB - FPM";"R$149.373.334,83"
"Centro-Oeste";"MS";"2021";"FUNDEB - ICMS";"R$983.927.607,40"
"Centro-Oeste";"MS";"2021";"FUNDEB - IPI-EXP";"R$10.942.372,66"
"Centro-Oeste";"MS";"2021";"FUNDEB - IPVA";"R$67.467.427,01"
"Centro-Oeste";"MS";"2021";"FUNDEB - ITCMD";"R$30.132.648,27"
"Centro-Oeste";"MS";"2021";"FUNDEB - ITR";"R$25.607.491,25"
"Centro-Oeste";"MS";"2021";"FUNDEB - LC 87";"R$0,00"
"Centro-Oeste";"MS";"2022";"FUNDEB - AFE";"R$3.124.994,95"
"Centro-Oeste";"MS";"2022";"FUNDEB - FPE";"R$164.352.280,30"
"Centro-Oeste";"MS";"2022";"FUNDEB - FPM";"R$185.821.371,04"
"Centro-Oeste";"MS";"2022";"FUNDEB - ICMS";"R$1.079.239.373,79"
"Centro-Oeste";"MS";"2022";"FUNDEB - IPI-EXP";"R$9.171.840,81"
"Centro-Oeste";"MS";"2022";"FUNDEB - IPVA";"R$71.248.400,79"
"Centro-Oeste";"MS";"2022";"FUNDEB - ITCMD";"R$31.172.590,12"
"Centro-Oeste";"MS";"2022";"FUNDEB - ITR";"R$30.505.833,15"
"Centro-Oeste";"MS";"2023";"FUNDEB - FPE";"R$161.771.876,07"
"Centro-Oeste";"MS";"2023";"FUNDEB - FPM";"R$182.150.283,31"
"Centro-Oeste";"MS";"2023";"FUNDEB - ICMS";"R$1.155.743.859,57"
"Centro-Oeste";"MS";"2023";"FUNDEB - IPI-EXP";"R$7.428.604,40"
"Centro-Oeste";"MS";"2023";"FUNDEB - IPVA";"R$79.291.883,09"
"Centro-Oeste";"MS";"2023";"FUNDEB - ITCMD";"R$31.915.690,37"
"Centro-Oeste";"MS";"2023";"FUNDEB - ITR";"R$33.326.228,12"
"Centro-Oeste";"MS";"2024";"FUNDEB - FPE";"R$171.671.044,78"
"Centro-Oeste";"MS";"2024";"FUNDEB - FPM";"R$201.568.833,09"
"Centro-Oeste";"MS";"2024";"FUNDEB - ICMS";"R$1.211.673.156,79"
"Centro-Oeste";"MS";"2024";"FUNDEB - IPI-EXP";"R$12.021.582,47"
"Centro-Oeste";"MS";"2024";"FUNDEB - IPVA";"R$81.169.102,96"
"Centro-Oeste";"MS";"2024";"FUNDEB - ITCMD";"R$33.325.215,81"
"Centro-Oeste";"MS";"2024";"FUNDEB - ITR";"R$34.701.907,68"
"Centro-Oeste";"MS";"2025";"FUNDEB - FPE";"R$205.953.010,60"
"Centro-Oeste";"MS";"2025";"FUNDEB - FPM";"R$224.880.833,97"
"Centro-Oeste";"MS";"2025";"FUNDEB - FUNDEB - FTI";"R$16.844.829,85"
"Centro-Oeste";"MS";"2025";"FUNDEB - ICMS";"R$1.276.077.076,65"
"Centro-Oeste";"MS";"2025";"FUNDEB - IPI-EXP";"R$15.020.584,95"
"Centro-Oeste";"MS";"2025";"FUNDEB - IPVA";"R$89.072.551,52"
"Centro-Oeste";"MS";"2025";"FUNDEB - ITCMD";"R$52.585.490,67"
"Centro-Oeste";"MS";"2025";"FUNDEB - ITR";"R$38.498.161,46"
"Centro-Oeste";"MS";"2026";"FUNDEB - COUN VAAF";"R$0,00"
"Centro-Oeste";"MS";"2026";"FUNDEB - COUN VAAR";"R$0,00"
"Centro-Oeste";"MS";"2026";"FUNDEB - COUN VAAT";"R$0,00"
"Centro-Oeste";"MS";"2026";"FUNDEB - FPE";"R$159.617.301,82"
"Centro-Oeste";"MS";"2026";"FUNDEB - FPM";"R$169.677.450,15"
"Centro-Oeste";"MS";"2026";"FUNDEB - FUNDEB - FTI";"R$2.972.617,03"
"Centro-Oeste";"MS";"2026";"FUNDEB - ICMS";"R$850.441.216,77"
"Centro-Oeste";"MS";"2026";"FUNDEB - IPI-EXP";"R$13.985.593,73"
"Centro-Oeste";"MS";"2026";"FUNDEB - IPVA";"R$83.886.283,26"
"Centro-Oeste";"MS";"2026";"FUNDEB - ITCMD";"R$20.356.816,04"
"Centro-Oeste";"MS";"2026";"FUNDEB - ITR";"R$5.772.275,96"
"Centro-Oeste";"MT";"2016";"FUNDEB - FPE";"R$218.069.600,91"
"Centro-Oeste";"MT";"2016";"FUNDEB - FPM";"R$182.808.021,49"
"Centro-Oeste";"MT";"2016";"FUNDEB - ICMS";"R$976.675.749,42"
"Centro-Oeste";"MT";"2016";"FUNDEB - IPI-EXP";"R$6.752.847,47"
"Centro-Oeste";"MT";"2016";"FUNDEB - IPVA";"R$67.979.353,56"
"Centro-Oeste";"MT";"2016";"FUNDEB - ITCMD";"R$11.990.467,79"
"Centro-Oeste";"MT";"2016";"FUNDEB - ITR";"R$16.742.547,16"
"Centro-Oeste";"MT";"2016";"FUNDEB - LC 87";"R$4.148.364,60"
"Centro-Oeste";"MT";"2017";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"MT";"2017";"FUNDEB - FPE";"R$206.616.138,28"
"Centro-Oeste";"MT";"2017";"FUNDEB - FPM";"R$171.205.331,46"
"Centro-Oeste";"MT";"2017";"FUNDEB - ICMS";"R$993.603.460,08"
"Centro-Oeste";"MT";"2017";"FUNDEB - IPI-EXP";"R$8.804.467,84"
"Centro-Oeste";"MT";"2017";"FUNDEB - IPVA";"R$72.097.186,27"
"Centro-Oeste";"MT";"2017";"FUNDEB - ITCMD";"R$10.342.019,14"
"Centro-Oeste";"MT";"2017";"FUNDEB - ITR";"R$17.373.494,72"
"Centro-Oeste";"MT";"2017";"FUNDEB - LC 87";"R$4.069.679,76"
"Centro-Oeste";"MT";"2018";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"MT";"2018";"FUNDEB - FPE";"R$213.878.268,27"
"Centro-Oeste";"MT";"2018";"FUNDEB - FPM";"R$177.064.349,86"
"Centro-Oeste";"MT";"2018";"FUNDEB - ICMS";"R$1.070.100.375,19"
"Centro-Oeste";"MT";"2018";"FUNDEB - IPI-EXP";"R$8.059.934,00"
"Centro-Oeste";"MT";"2018";"FUNDEB - IPVA";"R$76.589.992,94"
"Centro-Oeste";"MT";"2018";"FUNDEB - ITCMD";"R$7.413.911,62"
"Centro-Oeste";"MT";"2018";"FUNDEB - ITR";"R$20.515.411,51"
"Centro-Oeste";"MT";"2018";"FUNDEB - LC 87";"R$3.843.604,08"
"Centro-Oeste";"MT";"2019";"FUNDEB - COUN";"R$0,00"
"Centro-Oeste";"MT";"2019";"FUNDEB - FPE";"R$228.571.050,61"
"Centro-Oeste";"MT";"2019";"FUNDEB - FPM";"R$189.230.605,00"
"Centro-Oeste";"MT";"2019";"FUNDEB - ICMS";"R$1.179.432.517,55"
"Centro-Oeste";"MT";"2019";"FUNDEB - IPI-EXP";"R$8.123.530,04"
"Centro-Oeste";"MT";"2019";"FUNDEB - IPVA";"R$88.007.559,29"
"Centro-Oeste";"MT";"2019";"FUNDEB - ITCMD";"R$9.534.666,27"
"Centro-Oeste";"MT";"2019";"FUNDEB - ITR";"R$22.629.883,55"
