ano;bloco_origem;bloco_destino;modalidade;valor_reais;fonte;data_extracao
2007;U;M;CIDE;456074129.95;CTB-Resumo.xlsx;2026-09-02
2008;U;M;CIDE;389104362.64;CTB-Resumo.xlsx;2026-09-02
2009;U;M;CIDE;237180477.82;CTB-Resumo.xlsx;2026-09-02
2010;U;M;CIDE;437578324.94;CTB-Resumo.xlsx;2026-09-02
2011;U;M;CIDE;519961219.85;CTB-Resumo.xlsx;2026-09-02
2012;U;M;CIDE;275521932.17;CTB-Resumo.xlsx;2026-09-02
2013;U;M;CIDE;14128833.98;CTB-Resumo.xlsx;2026-09-02
2014;U;M;CIDE;28613759.7;CTB-Resumo.xlsx;2026-09-02
2015;U;M;CIDE;110397174.84;CTB-Resumo.xlsx;2026-09-02
2009;U;M;AFM;1867496416.95;CTB-Resumo.xlsx;2026-09-02
2010;U;M;AFM;516609664.89;CTB-Resumo.xlsx;2026-09-02
2013;U;M;AFM;1500000000.0;CTB-Resumo.xlsx;2026-09-02
2014;U;M;AFM;1500000000.0;CTB-Resumo.xlsx;2026-09-02
2000;U;M;ROYALTIES E PARTICIPAÇÕES;1028767610.04;CTB-Resumo.xlsx;2026-09-02
2001;U;M;ROYALTIES E PARTICIPAÇÕES;1338637060.88;CTB-Resumo.xlsx;2026-09-02
2002;U;M;ROYALTIES E PARTICIPAÇÕES;1800852464.74;CTB-Resumo.xlsx;2026-09-02
2003;U;M;ROYALTIES E PARTICIPAÇÕES;2527641677.91;CTB-Resumo.xlsx;2026-09-02
2004;U;M;ROYALTIES E PARTICIPAÇÕES;2816403510.97;CTB-Resumo.xlsx;2026-09-02
2005;U;M;ROYALTIES E PARTICIPAÇÕES;3454153328.63;CTB-Resumo.xlsx;2026-09-02
2006;U;M;ROYALTIES E PARTICIPAÇÕES;4182477371.63;CTB-Resumo.xlsx;2026-09-02
2007;U;M;ROYALTIES E PARTICIPAÇÕES;3999704341.36;CTB-Resumo.xlsx;2026-09-02
2008;U;M;ROYALTIES E PARTICIPAÇÕES;5616525026.72;CTB-Resumo.xlsx;2026-09-02
